"text","emotion","polarity"
"1","meniscus injury research should give hope tofans after theinjury","unknown","neutral"
"2","prayers to","unknown","positive"
"3","derrick rose will return the strength of the mighty will bestrength chicago empire","unknown","positive"
"4","oo poor","sadness","negative"
"5","prayers to","unknown","positive"
"6","im sick over theinjury he has been through so much and deserves better fate has intervened again for this g","disgust","neutral"
"7","prayers to","unknown","positive"
"8","man i feel really bad for your torn knee you cant give up keep your head up keep calm fight and carry on youll be back","sadness","negative"
"9","your still gonna be my favorite player man","unknown","positive"
"10","prayers to","unknown","positive"
"11","thank youthe real fans love youand always will youll be back you were born to play basketball","joy","positive"
"12","prayers to","unknown","positive"
"13","and theface an important decision to repair or to debride the meniscus","unknown","positive"
"14","people act like you can control injuries if it wasnt for it no doubtwould still be on that court beingof the best","joy","positive"
"15","prayers to","unknown","positive"
"16","will always be an mvp but with his latest injury we fear its time to say goodbye","fear","negative"
"17","prayfordrose god got him and he coming back strong","sadness","positive"
"18","prayers to","unknown","positive"
"19","will always be an mvp but with his latest injury we fear its time to say goodbye","fear","negative"
"20","prayers to","unknown","positive"
"21","prayers to","unknown","positive"
"22","prayers to","unknown","positive"
"23","prayers to","unknown","positive"
"24","prayers to","unknown","positive"
"25","is not bae","unknown","positive"
"26","and theface an important decision to repair or to debride the meniscus","unknown","positive"
"27","what did i know and when did i know it","unknown","positive"
"28","its hard to seeinjures again on his knee change the rehab dont do the same again look for other solutions good luck","joy","neutral"
"29","this is heartbreakingmuch respect for my mantho","joy","positive"
"30","will always be an mvp but with his latest injury we fear its time to say goodbye","fear","negative"
"31","will always be an mvp but with his latest injury we fear its time to say goodbye","fear","negative"
"32","lets gettit partof the road to recovery","unknown","negative"
"33","hard work isnt enough you got to believe thereturn","unknown","neutral"
"34","will always be an mvp but with his latest injury we fear its time to say goodbye","fear","negative"
"35","hang in man only u can beat this but take the option of cutting the bad part of the meniscus out amp u can be back for the playoffs","sadness","neutral"
"36","i was up early thinking about how time goes by i miss the times i had at the university of memphis with my teammates and how mu","unknown","negative"
"37","had memphis will always be my second home no matter what yall showed me a lot of love and for that i will always stay loyal to","joy","positive"
"38","who comes back first to play for their teamor","unknown","positive"
